payment_id,order_id,payment_method,payment_status,payment_amount,payment_date
PAY00001,O00001,Credit Card,Success,1326,2024-12-16
PAY00002,O00002,UPI,Success,402,2025-07-27
PAY00003,O00003,UPI,Success,830,2024-11-02
PAY00004,O00004,UPI,Success,195,2025-08-14
PAY00005,O00005,Debit Card,Success,534,2025-12-01
PAY00006,O00006,UPI,Success,243,2024-06-24
PAY00007,O00007,UPI,Success,606,2026-03-24
PAY00008,O00008,UPI,Success,342,2024-08-10
PAY00009,O00009,UPI,Success,1473,2024-08-03
PAY00010,O00010,Credit Card,Success,1017,2025-09-26
PAY00011,O00011,UPI,Success,1643,2024-12-09
PAY00012,O00012,UPI,Success,439,2025-03-24
PAY00013,O00013,UPI,Success,565,2024-11-12
PAY00014,O00014,UPI,Success,664,2024-08-30
PAY00015,O00015,UPI,Success,511,2024-11-20
PAY00016,O00016,Debit Card,Success,371,2026-05-09
PAY00017,O00017,UPI,Success,660,2025-10-22
PAY00018,O00018,Credit Card,Refunded,706,2026-05-15
PAY00019,O00019,UPI,Success,551,2024-11-23
PAY00020,O00020,UPI,Success,1040,2026-03-13
PAY00021,O00021,COD,Failed,389,2026-03-06
PAY00022,O00022,Credit Card,Success,1941,2025-05-12
PAY00023,O00023,UPI,Success,879,2025-01-15
PAY00024,O00024,UPI,Success,501,2025-02-03
PAY00025,O00025,Debit Card,Success,587,2024-11-10
PAY00026,O00026,UPI,Success,253,2025-09-18
PAY00027,O00027,UPI,Success,345,2025-01-22
PAY00028,O00028,COD,Success,878,2025-01-22
PAY00029,O00029,UPI,Success,325,2025-10-04
PAY00030,O00030,UPI,Success,861,2025-10-24
PAY00031,O00031,UPI,Success,771,2024-12-22
PAY00032,O00032,UPI,Success,160,2024-10-20
PAY00033,O00033,COD,Success,1530,2024-07-31
PAY00034,O00034,UPI,Success,586,2025-03-13
PAY00035,O00035,UPI,Success,143,2025-03-09
PAY00036,O00036,UPI,Success,651,2025-12-16
PAY00037,O00037,UPI,Success,618,2025-10-23
